name,price,location,miles,title,image,link
2003 Nissan 350z Touring Coupe 2D,"$7,500","San Jose, CA",94K miles,2003 Nissan 350z Touring Coupe 2D,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.30808-6/441373368_3722157934739259_6728227116236345362_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=ptGeXUr0lbYQ7kNvgEfO9ua&_nc_ht=scontent-sjc3-1.xx&oh=00_AYC9CUrn4BbCh8B14sOHCYP94K2du08ffi8sixTB4tuLgw&oe=6645E099,facebook.com/marketplace/item/416101551226873/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2017643486810966111%22%2C%22mf_story_key%22%3A%227670250706424458%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7670250706424458%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A0%2C%5C%22ranking_signature%5C%22%3A4388832225022213213%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.026804435548666%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227670250706424458%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2006 Nissan 350z,"$15,995","Hayward, CA",51K miles,2006 Nissan 350z,https://scontent-sjc3-1.xx.fbcdn.net/v/t45.5328-4/438155809_8010510385648496_1109695122120679903_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=110&ccb=1-7&_nc_sid=247b10&_nc_ohc=xq8A8aFwkdMQ7kNvgH8PGQi&_nc_ht=scontent-sjc3-1.xx&oh=00_AYCzFq7v4SGwbGtfDOAlsje5DnlNCDfnrSx5XbyZPVPb4A&oe=6645CF92,facebook.com/marketplace/item/408879738705307/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2017643486810966111%22%2C%22mf_story_key%22%3A%227353604018080435%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7353604018080435%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A1%2C%5C%22ranking_signature%5C%22%3A4388832225022213213%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.014733942483589%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227353604018080435%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2005 Nissan 350z Performance Coupe 2D,"$3,000","Redwood City, CA",248K miles,2005 Nissan 350z Performance Coupe 2D,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.30808-6/440949188_122147281748130141_6895417438815722838_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=x3g4NTo8KgMQ7kNvgHmP_TJ&_nc_ht=scontent-sjc3-1.xx&oh=00_AYCICYj8BVXhhWXGxqykE4mqg4l__Bo_W6bpMITrreMUkw&oe=6645D1F4,facebook.com/marketplace/item/400071713008907/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2017643486810966111%22%2C%22mf_story_key%22%3A%2225376680071979052%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25376680071979052%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A2%2C%5C%22ranking_signature%5C%22%3A4388832225022213213%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.014733938483589%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225376680071979052%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2005 Nissan 350z 35th Anniversary Coupe 2D,$1,"Sunnyvale, CA",18K miles,2005 Nissan 350z 35th Anniversary Coupe 2D,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.30808-6/441192043_1587871385388702_2042748101636023578_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=ZJrGG8l_eCYQ7kNvgEVisoC&_nc_ht=scontent-sjc3-1.xx&oh=00_AYBRFbNbC2oaT9V5-2uwUTVtHylUJUwfWtts6pyJRrwGLg&oe=6645D00F,facebook.com/marketplace/item/978150643718270/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2017643486810966111%22%2C%22mf_story_key%22%3A%227784360664929805%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7784360664929805%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A3%2C%5C%22ranking_signature%5C%22%3A4388832225022213213%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0095080906150293%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227784360664929805%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2004 Nissan 350z Touring Coupe 2D,"$3,000","Richmond, CA",90K miles,2004 Nissan 350z Touring Coupe 2D,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.30808-6/441711417_1113253223304023_560935444535046918_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=FKcbTxSNeVkQ7kNvgH82_2u&_nc_ht=scontent-sjc3-1.xx&oh=00_AYDpmA-eLo-CQ0HzZMHlIwpszMFvog6Q23035GOGPf23BQ&oe=6645C4A3,facebook.com/marketplace/item/760258019571236/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2017643486810966111%22%2C%22mf_story_key%22%3A%227686533844774367%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7686533844774367%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A4%2C%5C%22ranking_signature%5C%22%3A4388832225022213213%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.012032927760664%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227686533844774367%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2008 Nissan 350z Touring Roadster 2D,"$12,000","San Mateo, CA",68K miles,2008 Nissan 350z Touring Roadster 2D,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.30808-6/441158962_10223196847418154_2771503104885637051_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=kerXVeGuW6UQ7kNvgGi1Ar0&_nc_ht=scontent-sjc3-1.xx&oh=00_AYDMCTwt84KSIW2Jo61w6tFA8tikpSrvxgnNn2XfKwIccg&oe=6645E756,facebook.com/marketplace/item/408499675395793/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2017643486810966111%22%2C%22mf_story_key%22%3A%2225402168746065572%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25402168746065572%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A5%2C%5C%22ranking_signature%5C%22%3A4388832225022213213%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.022859248348937%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225402168746065572%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2008 Nissan 350z Coupe 2D,"$8,400","Hayward, CA",88K miles,2008 Nissan 350z Coupe 2D,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.30808-6/438301207_471361878724485_7516374619230597231_n.jpg?stp=c0.77.1283.1283a_dst-jpg_s261x260&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=VgvwMZGkKwoQ7kNvgHlYT8Q&_nc_ht=scontent-sjc3-1.xx&oh=00_AYDWWTjWjbE7WyUutDnxXOXPWUCWGygLLxeZqxpOtfUN-A&oe=6645E4C4,facebook.com/marketplace/item/820944343280956/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2017643486810966111%22%2C%22mf_story_key%22%3A%226945908005510462%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6945908005510462%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A6%2C%5C%22ranking_signature%5C%22%3A4388832225022213213%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.014733946483589%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%226945908005510462%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2008 Nissan 350z Enthusiast Coupe 2D,"$6,000","Castro Valley, CA",155K miles,2008 Nissan 350z Enthusiast Coupe 2D,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.30808-6/440989871_442454491802551_7025509596324640023_n.jpg?stp=c0.295.1153.1153a_dst-jpg_s261x260&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=fSPbCQG264AQ7kNvgEXVZSK&_nc_ht=scontent-sjc3-1.xx&oh=00_AYC1Qh6T0vNQzzRK3ZhMduv3g0h-w3on8o9xCQ_l_NgWPw&oe=6645D373,facebook.com/marketplace/item/1427066384672422/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2017643486810966111%22%2C%22mf_story_key%22%3A%2225479855024963792%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25479855024963792%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A7%2C%5C%22ranking_signature%5C%22%3A4388832225022213213%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.010246842810471%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225479855024963792%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2005 Nissan 350z Coupe 2D,"$6,600","South San Francisco, CA",180K miles,2005 Nissan 350z Coupe 2D,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.30808-6/439192904_961503075637918_7430376056736932699_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=RINVvoi7LWoQ7kNvgH57abN&_nc_ht=scontent-sjc3-1.xx&oh=00_AYA71Vw7-HcPSB_yt7e3fbPbhKy2GDcTTcSv6hC8lKxCuQ&oe=6645CBB4,facebook.com/marketplace/item/1105257290781103/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2017643486810966111%22%2C%22mf_story_key%22%3A%227771220446324339%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7771220446324339%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A8%2C%5C%22ranking_signature%5C%22%3A4388832225022213213%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.013135828798595%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227771220446324339%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2003 Nissan 350z Performance Coupe 2D,"$9,000","San Jose, CA",122K miles,2003 Nissan 350z Performance Coupe 2D,https://scontent-sjc3-1.xx.fbcdn.net/v/t45.5328-4/436953198_731508865851799_7785806118765315231_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_ohc=qP15wU-IRxkQ7kNvgHD77cm&_nc_oc=Adi_BVksazbwhXX3J8xZ8wNc-sfuXoHWHpLU_vDELwcqs69tpe44bMotYkyLM_UBczA&_nc_ht=scontent-sjc3-1.xx&oh=00_AYA2vE7X4nIZmIrprKNXZ8qmi84nXBw3OycUIOKipYYK8Q&oe=6645E1AA,facebook.com/marketplace/item/1126509988470086/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2017643486810966111%22%2C%22mf_story_key%22%3A%227387387344690362%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7387387344690362%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A9%2C%5C%22ranking_signature%5C%22%3A4388832225022213213%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.002717010789726%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227387387344690362%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
